Time_2 (s),f3_2 (Hz),D3_2 (ppm),f5_2 (Hz),D5_2 (ppm),f7_2 (Hz),D7_2 (ppm),f9_2 (Hz),D9_2 (ppm),f11_2 (Hz),D11_2 (ppm),f13_2 (Hz),D13_2 (ppm),Time_3 (s),f3_3 (Hz),D3_3 (ppm),f5_3 (Hz),D5_3 (ppm),f7_3 (Hz),D7_3 (ppm),f9_3 (Hz),D9_3 (ppm),f11_3 (Hz),D11_3 (ppm),f13_3 (Hz),D13_3 (ppm),Time_4 (s),f3_4 (Hz),D3_4 (ppm),f5_4 (Hz),D5_4 (ppm),f7_4 (Hz),D7_4 (ppm),f9_4 (Hz),D9_4 (ppm),f11_4 (Hz),D11_4 (ppm),f13_4 (Hz),D13_4 (ppm)
18.95,14853924.69,8.21,24750953.89,6.77,34646938.15,6.48,44543916.04,5.49,54440709.95,6.33,64338226.09,6.87,23.44,14855369.22,16.59,24754634.93,10.65,34652420.73,7.62,44550972.90,7.56,54449313.52,9.14,64348340.57,9.47,28.24,14847650.62,16.13,24742047.28,10.45,34635021.32,7.59,44528827.44,7.68,54422431.39,9.55,64316754.16,9.96
73.64,14853924.28,8.21,24750952.99,6.78,34646936.42,6.45,44543914.68,5.49,54440708.58,6.33,64338224.12,6.86,63.53,14855369.06,16.59,24754634.65,10.65,34652420.32,7.62,44550972.38,7.56,54449312.88,9.14,64348339.73,9.47,68.37,14847650.58,16.13,24742047.19,10.45,34635021.20,7.59,44528827.27,7.68,54422431.20,9.55,64316753.89,9.96
137.97,14853923.82,8.21,24750951.89,6.78,34646934.34,6.43,44543912.70,5.49,54440706.19,6.33,64338221.23,6.86,127.86,14855368.82,16.59,24754634.21,10.65,34652419.70,7.62,44550971.58,7.56,54449311.89,9.14,64348338.56,9.47,132.69,14847650.52,16.13,24742047.05,10.45,34635021.00,7.59,44528827.01,7.68,54422430.88,9.55,64316753.52,9.96
202.24,14853923.39,8.21,24750950.83,6.79,34646932.53,6.41,44543910.85,5.49,54440703.96,6.33,64338218.45,6.86,192.13,14855368.60,16.58,24754633.80,10.65,34652419.12,7.62,44550970.83,7.56,54449310.97,9.14,64348337.47,9.47,196.97,14847650.46,16.12,24742046.94,10.45,34635020.83,7.59,44528826.78,7.68,54422430.60,9.55,64316753.15,9.96
266.33,14853922.98,8.21,24750949.84,6.79,34646930.86,6.38,44543909.07,5.49,54440701.80,6.33,64338215.83,6.86,256.24,14855368.38,16.58,24754633.40,10.65,34652418.53,7.61,44550970.09,7.55,54449310.03,9.14,64348336.37,9.47,261.06,14847650.39,16.12,24742046.82,10.45,34635020.65,7.59,44528826.55,7.68,54422430.31,9.55,64316752.81,9.96
330.44,14853922.58,8.21,24750948.91,6.79,34646929.31,6.35,44543907.38,5.49,54440699.74,6.33,64338213.33,6.86,320.37,14855368.16,16.58,24754633.01,10.64,34652417.98,7.61,44550969.38,7.55,54449309.16,9.14,64348335.33,9.47,325.18,14847650.33,16.12,24742046.70,10.45,34635020.47,7.59,44528826.31,7.68,54422430.04,9.55,64316752.47,9.95
394.65,14853922.21,8.21,24750948.03,6.79,34646927.84,6.33,44543905.79,5.49,54440697.80,6.33,64338210.93,6.87,384.54,14855367.97,16.57,24754632.64,10.64,34652417.45,7.61,44550968.71,7.55,54449308.32,9.13,64348334.35,9.47,389.37,14847650.28,16.12,24742046.60,10.45,34635020.32,7.59,44528826.11,7.68,54422429.77,9.55,64316752.15,9.95
465.31,14853921.82,8.21,24750947.14,6.80,34646926.46,6.30,44543904.23,5.49,54440695.94,6.33,64338208.67,6.87,449.81,14855371.06,16.30,24754633.65,10.12,34652414.48,7.28,44550965.37,7.30,54449298.65,8.71,64348300.99,9.43,460.06,14847650.22,16.12,24742046.48,10.45,34635020.15,7.59,44528825.89,7.68,54422429.51,9.55,64316751.83,9.95
549.04,14853921.33,8.21,24750946.15,6.79,34646924.85,6.29,44543902.26,5.49,54440693.47,6.33,64338206.05,6.87,536.64,14855374.11,16.03,24754634.59,9.61,34652411.37,6.95,44550961.88,7.04,54449288.74,8.29,64348266.95,9.39,543.77,14847650.15,16.12,24742046.34,10.45,34635019.96,7.59,44528825.64,7.68,54422429.19,9.55,64316751.45,9.95
629.19,14853920.92,8.21,24750945.27,6.80,34646923.58,6.29,44543900.66,5.49,54440691.50,6.33,64338203.72,6.87,611.46,14855376.10,15.85,24754635.12,9.26,34652409.19,6.73,44550959.40,6.87,54449281.92,8.01,64348244.49,9.36,623.92,14847650.08,16.12,24742046.22,10.45,34635019.77,7.59,44528825.39,7.68,54422428.89,9.55,64316751.06,9.95
